order_id,restaurant_id,order_date,order_timestamp,number_of_customers,turnover
4ca638160f8f9a967616b558bbaceb59,0b7e2607202cb7cafc1afda7ba96a535,2021-06-13,2021-06-13 13:03:43.000000,1,350.00
c2cf1a7e64dcaef0adc7ac50ef8a1ba5,0b7e2607202cb7cafc1afda7ba96a535,2021-06-24,2021-06-24 10:23:55.000000,1,550.00
8287784145242df9e2ce2774055ee25c,8a09e81751d5d2a9943290afae36f520,2021-07-13,2021-07-13 20:27:21.000000,1,3400.00
510512efaa11fc4954259698291cb666,d8a7031d63e3762cfac9ac452816f6fe,2021-05-22,2021-05-22 07:57:57.000000,1,5000.00
22b277f054f5247c414c195bbe4f7cec,b951192c7624a51dadac361bca012417,2021-07-03,2021-07-03 19:09:59.000000,1,1200.00
d9d08f14b9d24af695cba2dc6f9c8364,6b339b7d02cfba0555465b5af99b37de,2021-07-09,2021-07-09 20:08:15.000000,2,1300.00
941e2c4c5184bbf86fbf96cdadc7e982,8a09e81751d5d2a9943290afae36f520,2021-07-02,2021-07-02 21:09:57.000000,1,7300.00
5717cb5a8db248a585798d2de8096de5,3e3735fec1d68ca2f496527b75081f86,2021-07-05,2021-07-05 10:57:56.000000,1,3000.00
0da9cc66c838fa9acf3f74fdb12c02aa,0b7e2607202cb7cafc1afda7ba96a535,2021-07-13,2021-07-13 06:20:37.000000,1,350.00
103ec7472f5a980e81b60a31a470dc13,ddd6bac0f8779a7a0a2e576f833c755a,2021-06-19,2021-06-19 12:49:51.000000,1,700.00
512e5230753575a0e351954a72cc700e,62519b8f83ec10cacb56d46342ace8f1,2021-06-24,2021-06-24 20:55:56.000000,2,1850.00
949d3487afa594c871c584c7fce2a933,6b339b7d02cfba0555465b5af99b37de,2021-07-09,2021-07-09 00:57:21.000000,2,1300.00
4ec0c4113c780329ffde32449524eac3,0b7e2607202cb7cafc1afda7ba96a535,2021-06-29,2021-06-29 12:58:35.000000,1,250.00
e4caea2405f8c58af1e19a6f306aed40,cc535d6609c5a9ed0fec0f30ba78b7fd,2021-06-14,2021-06-14 17:36:27.000000,1,85800.00
762248026bee244cc3d4be49caecee7f,62519b8f83ec10cacb56d46342ace8f1,2021-06-30,2021-06-30 12:11:29.000000,2,2850.00
00ae12ad206f4683c4e26c01bbf75f94,77a44d5cfb595b3545d61aa742268c9b,2021-07-08,2021-07-08 12:35:11.000000,2,4000.00
ec5a0f24ad92227ae5c6c1f798439f83,0b7e2607202cb7cafc1afda7ba96a535,2021-07-08,2021-07-08 13:32:50.000000,1,230.00
e164f04827e384f8eab3670a4c74df24,cc535d6609c5a9ed0fec0f30ba78b7fd,2021-06-04,2021-06-04 15:48:24.000000,1,3000.00
a5593a88073ba177bc6deb89ce881f97,ddd6bac0f8779a7a0a2e576f833c755a,2021-06-04,2021-06-04 16:46:16.000000,1,1800.00
ae8214fec493a38c54d980c22f40a2e1,77a44d5cfb595b3545d61aa742268c9b,2021-07-05,2021-07-05 11:28:46.000000,4,2600.00
7f7368b494de50865d39cf19a7b59c9e,e6f9f20dad3eec7008b77d10ff08f14c,2021-06-02,2021-06-02 14:55:42.000000,1,2007.00
b8687168d76862938274da50ebcd6d48,77a44d5cfb595b3545d61aa742268c9b,2021-05-30,2021-05-30 11:10:48.000000,2,5980.00
30ff4021346332d45f7aecaee99b6767,ddd6bac0f8779a7a0a2e576f833c755a,2021-07-04,2021-07-04 16:16:55.000000,2,3580.00
01008df8525bf6a9ad504254643b37f1,47348419f65e9ff93ab474a090e66a41,2021-06-01,2021-06-01 05:21:09.000000,1,300.00
77bea5eccd1357950773f60842f33362,fa522ede9e820bba27b3656fa5209cdf,2021-07-08,2021-07-08 15:53:13.000000,1,33964.00
f582a629ac155ea2c6af5937ef81da0d,47348419f65e9ff93ab474a090e66a41,2021-06-01,2021-06-01 05:45:30.000000,1,110.00
d3321b40e67b68c14d2b98338703928a,0b7e2607202cb7cafc1afda7ba96a535,2021-07-09,2021-07-09 17:20:36.000000,1,700.00
28c5691918297533f2a4167f21b2c6fa,d8a7031d63e3762cfac9ac452816f6fe,2021-07-11,2021-07-11 19:06:17.000000,2,7100.00
c4713c5df45498128ce23f7593b2013d,0b7e2607202cb7cafc1afda7ba96a535,2021-06-07,2021-06-07 15:25:41.000000,1,250.00
12e67d69b0df482dc149819ce056f608,77a44d5cfb595b3545d61aa742268c9b,2021-07-05,2021-07-05 12:21:10.000000,4,1100.00
f571bd7af1b97988a386eaf76cd1460b,0b7e2607202cb7cafc1afda7ba96a535,2021-06-18,2021-06-18 08:44:17.000000,1,3050.00
ac6b772044b0a914645b309567cffa5a,8a09e81751d5d2a9943290afae36f520,2021-06-27,2021-06-27 17:58:03.000000,1,1750.00
b1fa13f313ddca625f5c8ec8923282b2,b951192c7624a51dadac361bca012417,2021-07-02,2021-07-02 19:44:59.000000,1,300.00
30b7d060b5245eff8f3939a8cabe1893,0b7e2607202cb7cafc1afda7ba96a535,2021-06-28,2021-06-28 08:35:03.000000,1,350.00
30b2dc12a91a7f844b80423d737f71dc,0b7e2607202cb7cafc1afda7ba96a535,2021-07-05,2021-07-05 10:43:25.000000,1,230.00
